词条,字数,所属子类,独立成词频次,字面频次,首现章回,首现回目,其他归属,备注,例句
衣襟,2,服饰品类,7,7,17,大观园试才题对额 荣国府归省庆元宵,,,因忙把衣领解了，从里面衣襟上将所系荷包解下来了递与黛玉道：“你瞧瞧，这是什么东西？
裤子,2,服饰品类,7,7,12,王熙凤毒设相思局 贾天祥正照风月鉴,,,”说着，抱到屋里炕上就亲嘴扯裤子，满口里“亲爹”“亲娘”的乱叫起来。
金麒麟,3,首饰佩饰,7,7,31,撕扇子作千金一笑 因麒麟伏白首双星,,,”黛玉听了，冷笑道：“他不会说话，就配带‘金麒麟’了！
靴子,2,服饰品类,7,7,6,贾宝玉初试云雨情 刘老老一进荣国府,,,”只听一路靴子响，进来了一个十七八岁的少年，面目清秀，身段苗条，美服华冠，轻裘宝带。
袖,1,服饰品类,6,51,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,”说毕，便袖了，同那道人飘然而去，竟不知投向何方。
褂,1,服饰品类,6,24,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,头上戴着金丝八宝攒珠髻，绾朝阳五凤挂珠钗，项上戴着赤金盘螭缨络圈，身上穿着缕金百蝶穿花大红云缎窄裉袄，外罩五彩刻丝石青银鼠褂，下着翡翠撒花洋绉裙。
襟,1,服饰品类,6,21,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,所以蓬牖茅椽，绳床瓦灶，并不足妨我襟怀；
葛,1,衣料织物,6,12,6,贾宝玉初试云雨情 刘老老一进荣国府,,,正思从那一件事那一个人写起方妙，却好忽从千里之外，芥豆之微，小小一个人家，因与荣府略有些瓜葛，这日正往荣府中来，因此便就这一家说起，倒还是个头绪。
熨,1,缝织浆洗,6,10,28,蒋玉函情赠茜香罗 薛宝钗羞笼红麝串,,,”宝玉进来，只见地下一个丫头吹熨斗，炕上两个丫头打粉线，黛玉弯着腰拿剪子裁什么呢。
做针线,3,缝织浆洗,6,6,36,绣鸳鸯梦兆绛芸轩 识分定情悟梨香院,,,转过十锦棍子，来至宝玉的房内，宝玉在床上睡着了，袭人坐在身旁，手里做针线，傍边放着一柄白犀麈。
刻丝,2,衣料织物,6,6,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,头上戴着金丝八宝攒珠髻，绾朝阳五凤挂珠钗，项上戴着赤金盘螭缨络圈，身上穿着缕金百蝶穿花大红云缎窄裉袄，外罩五彩刻丝石青银鼠褂，下着翡翠撒花洋绉裙。
帽子,2,服饰品类,6,6,9,训劣子李贵承申饬 嗔顽童茗烟闹书房,,,”吓的李贵忙双膝跪下，摘了帽子碰头，连连答应“是”，又回说：“哥儿已经念到第三本《诗经》，什么‘攸攸鹿鸣，荷叶浮萍’，小的不敢撒谎。
月白,2,颜色纹样,6,6,42,蘅芜君兰言解疑癖 潇湘子雅谑补馀音,,,平儿一一的拿给他瞧着，又说道：“这是昨日你要的青纱一匹，奶奶另外送你一个实地月白纱做里子。
玛瑙,2,首饰佩饰,6,6,28,蒋玉函情赠茜香罗 薛宝钗羞笼红麝串,,,”袭人道：“老太太多着一个香玉如意，一个玛瑙枕。
玫瑰露,3,妆饰脂粉,6,6,60,茉莉粉替去蔷薇硝 玫瑰露引出茯苓霜,,,前日那玫瑰露，姐姐吃了没有？
皮袄,2,服饰品类,6,6,49,琉璃世界白雪红梅 脂粉香娃割腥啖膻,,,宝玉此时喜欢非常，忙唤起人来，盥漱已毕，只穿一件茄色哆罗呢狐狸皮袄，罩一件海龙小鹰膀褂子，束了腰；
箭袖,2,服饰品类,6,6,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,及至进来一看，却是位青年公子：头上戴着束发嵌宝紫金冠，齐眉勒着二龙戏珠金抹额，一件二色金百蝶穿花大红箭袖，束着五彩丝攒花结长穗宫绦，外罩石青起花八团倭缎排穗褂，登着青缎粉底小朝靴。
金锁,2,首饰佩饰,6,6,28,蒋玉函情赠茜香罗 薛宝钗羞笼红麝串,,,宝钗因往日母亲对王夫人曾提过“金锁是个和尚给的，等日后有玉的方可结为婚姻”等语，所以总远着宝玉。
鹅黄,2,颜色纹样,6,6,5,贾宝玉神游太虚境 警幻仙曲演红楼梦,,,耀珠翠之的的兮，鸣绿鹅黄。
换衣,2,妆饰脂粉,5,21,8,贾宝玉奇缘识金锁 薛宝钗巧合认通灵,,,当下众嬷嬷丫鬟伺候他换衣服，见不曾换，仍出二门去了，众嬷嬷丫鬟只得跟随出来。
袜,1,服饰品类,5,11,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,身上穿着银红撒花半旧大袄，仍旧带着项圈、宝玉、寄名锁、护身符等物，下面半露松绿撒花绫裤，锦边弹墨袜，厚底大红鞋。
小衣,2,服饰品类,5,5,28,蒋玉函情赠茜香罗 薛宝钗羞笼红麝串,,,”说毕撩衣，将系小衣儿的一条大红汗巾子解下来递给宝玉道：“这汗巾子是茜香国女国王所贡之物，夏天系着肌肤生香，不生汗渍。
帕子,2,服饰品类,5,5,29,享福人福深还祷福 多情女情重愈斟情,,,话说宝玉正自发怔，不想黛玉将手帕子扔了来，正碰在眼睛上，倒唬了一跳，问：“这是谁？
彩绣,2,颜色纹样,5,5,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,这个人打扮与姑娘们不同，彩绣辉煌，恍若神妃仙子。
抹额,2,服饰品类,5,5,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,及至进来一看，却是位青年公子：头上戴着束发嵌宝紫金冠，齐眉勒着二龙戏珠金抹额，一件二色金百蝶穿花大红箭袖，束着五彩丝攒花结长穗宫绦，外罩石青起花八团倭缎排穗褂，登着青缎粉底小朝靴。
猩红,2,颜色纹样,5,5,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,临窗大炕上铺着猩红洋毯，正面设着大红金线蟒引枕，秋香色金钱蟒大条褥，两边设一对梅花式洋漆小几，左边几上摆着文王鼎，鼎旁匙著香盒，右边几上摆着汝窑美人觚，里面插着时鲜花草。
玉色,2,颜色纹样,5,5,24,醉金刚轻财尚义侠 痴女儿遗帕惹相思,,,宝玉坐在床沿上褪了鞋，等靴子穿的工夫，回头见鸳鸯穿着水红绫子袄儿，青缎子坎肩儿，下面露着玉色绸袜，大红绣鞋，向那边低着头看针线，脖子上围着紫绸绢子。
秋香,2,颜色纹样,5,5,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,临窗大炕上铺着猩红洋毯，正面设着大红金线蟒引枕，秋香色金钱蟒大条褥，两边设一对梅花式洋漆小几，左边几上摆着文王鼎，鼎旁匙著香盒，右边几上摆着汝窑美人觚，里面插着时鲜花草。
素服,2,服饰品类,5,5,14,林如海灵返苏州郡 贾宝玉路遏北静王,,,自己五更入朝，公事一毕，便换了素服，坐着大轿，鸣锣张伞而来，到了棚前落轿，手下各官两旁拥侍，军民人众不得往还。
绸缎,2,衣料织物,5,5,25,魇魔法叔嫂逢五鬼 通灵玉蒙蔽遇双真,,,赵姨娘正粘鞋呢，马道婆见炕上堆着些零星绸缎，因说：“我正没有鞋面子，姨奶奶给我些零碎绸子缎子，不拘颜色，做双鞋穿罢。
衣裙,2,服饰品类,5,5,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,黛玉一面吃了，打量这些丫鬟们妆饰衣裙、举止行动，果与别家不同。
金簪,2,首饰佩饰,5,5,5,贾宝玉神游太虚境 警幻仙曲演红楼梦,,,地下又有一堆雪，雪中一股金簪。
香珠,2,首饰佩饰,5,5,28,蒋玉函情赠茜香罗 薛宝钗羞笼红麝串,,,”说着，命小丫头来，将昨日的所赐之物取出来，却是上等宫扇两柄，红麝香珠二串，凤尾罗二端，芙蓉簟一领。
鲛绡,2,衣料织物,5,5,34,情中情因情感妹妹 错里错以错劝哥哥,,,尺幅鲛绡劳惠赠，为君那得不伤悲！
罗,1,衣料织物,4,74,5,贾宝玉神游太虚境 警幻仙曲演红楼梦,,含「罗列、姓罗」义，独立成词偏少,纵居那绮罗丛谁知娇养？
簪,1,首饰佩饰,4,44,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,使人人见了便知你是件奇物，然后携你到那昌明隆盛之邦、诗礼簪缨之族、花柳繁华地、温柔富贵乡那里去走一遭。
布,1,衣料织物,4,39,3,托内兄如海荐西宾 接外孙贾母惜孤女,,含布匹与「布施/遍布」义,”说话时已摆了果茶上来，熙凤亲自布让。
绡,1,衣料织物,4,12,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,昨日黄土陇头埋白骨，今宵红绡帐底卧鸳鸯。
小袄,2,服饰品类,4,9,51,薛小妹新编怀古诗 胡庸医乱用虎狼药,,,晴雯等他出去，便欲唬他玩耍，仗着素日比别人气壮，不畏寒冷，也不披衣，只穿着小袄便蹑手蹑脚的下了熏笼，随后出来。
弹墨,2,衣料织物,4,5,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,身上穿着银红撒花半旧大袄，仍旧带着项圈、宝玉、寄名锁、护身符等物，下面半露松绿撒花绫裤，锦边弹墨袜，厚底大红鞋。
中衣,2,服饰品类,4,4,6,贾宝玉初试云雨情 刘老老一进荣国府,,,仍旧理好衣裳，随至贾母处来，胡乱吃过晚饭，过这边来，趁众奶娘丫鬟不在旁时，另取出一件中衣与宝玉换上。
卸妆,2,妆饰脂粉,4,4,19,情切切良宵花解语 意绵绵静日玉生香,,,一时换衣卸妆。
哆罗呢,3,衣料织物,4,4,49,琉璃世界白雪红梅 脂粉香娃割腥啖膻,,,二人一齐踏雪行来，只见众妹妹都在那里，都是一色大红猩猩毡与羽毛缎斗篷，独李纨穿一件哆罗呢对襟褂子，薛宝钗穿一件莲青斗纹锦上添花洋线番丝的鹤氅。
头油,2,妆饰脂粉,4,4,56,敏探春兴利除宿弊 贤宝钗小惠全大体,,,见他来了，探春便命他脚踏上坐了，因说道：“我想的事，不为别的，只想着我们一月所用的头油脂粉又是二两的事。
头面,2,首饰佩饰,4,4,28,蒋玉函情赠茜香罗 薛宝钗羞笼红麝串,,,正经按方子，这珍珠宝石是要在古坟里找，有那古时富贵人家儿装裹的头面拿了来才好。
夹裤,2,服饰品类,4,4,58,杏子阴假凤泣虚凰 茜纱窗真情揆痴理,,,只见芳官穿着海棠红的小绵袄，底下绿绸洒花夹裤，敞着裤腿，一头乌油油的头发披在脑后，哭的泪人一般。
妆缎,2,衣料织物,4,4,28,蒋玉函情赠茜香罗 薛宝钗羞笼红麝串,,,到了房里，凤姐命人取过笔砚纸来，向宝玉道：“大红妆缎四十匹，蟒缎四十匹，各色上用纱一百匹，金项圈四个。
念珠,2,首饰佩饰,4,4,15,王凤姐弄权铁槛寺 秦鲸卿得趣馒头庵,,,”北静王又将腕上一串念珠卸下来，递与宝玉道：“今日初会，仓卒无敬贺之物，此系圣上所赐苓香念珠一串，权为贺敬之礼。
扇坠,2,首饰佩饰,4,4,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,见着这块鲜莹明洁的石头，且又缩成扇坠一般，甚属可爱。
斗笠,2,服饰品类,4,4,8,贾宝玉奇缘识金锁 薛宝钗巧合认通灵,,,小丫头忙捧过斗笠来，宝玉把头略低一低，叫他戴上。
桂花油,3,妆饰脂粉,4,4,28,蒋玉函情赠茜香罗 薛宝钗羞笼红麝串,,,女儿愁，无钱去打桂花油。
水红,2,颜色纹样,4,4,24,醉金刚轻财尚义侠 痴女儿遗帕惹相思,,,宝玉坐在床沿上褪了鞋，等靴子穿的工夫，回头见鸳鸯穿着水红绫子袄儿，青缎子坎肩儿，下面露着玉色绸袜，大红绣鞋，向那边低着头看针线，脖子上围着紫绸绢子。
狐皮,2,皮毛貂裘,4,4,53,宁国府除夕祭宗祠 荣国府元宵开夜宴,,,尤氏上房地下，铺满红毡，当地放着象鼻三足泥鳅流金珐琅大火盆，正面炕上铺着新猩红毡子，设着大红彩绣云龙捧寿的靠背、引枕、坐褥，外另有黑狐皮的袱子搭在上面。
狐腋,2,皮毛貂裘,4,4,8,贾宝玉奇缘识金锁 薛宝钗巧合认通灵,,,…，一面看宝玉：头上戴着累丝嵌宝紫金冠，额上勒着二龙棒珠抹额，身上穿着秋香色立蟒白狐腋箭袖，系着五色蝴供鸾绦，项上挂着长命锁、记名符，另外有那一块落草时衔下来的宝玉。…
纱罗,2,衣料织物,4,4,7,送宫花贾琏戏熙凤 宴宁府宝玉会秦钟,,,我虽比他尊贵，但绫锦纱罗，也不过裹了我这枯株朽木；
织补,2,缝织浆洗,4,4,52,俏平儿情掩虾须镯 勇晴雯病补孔雀裘,,,这不值什么，赶着叫人悄悄拿出去叫个能干织补匠人织上就是了。
缨络,2,首饰佩饰,4,4,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,头上戴着金丝八宝攒珠髻，绾朝阳五凤挂珠钗，项上戴着赤金盘螭缨络圈，身上穿着缕金百蝶穿花大红云缎窄裉袄，外罩五彩刻丝石青银鼠褂，下着翡翠撒花洋绉裙。
羊皮,2,皮毛貂裘,4,4,42,蘅芜君兰言解疑癖 潇湘子雅谑补馀音,,,见贾母穿着青绉绸一斗珠儿的羊皮褂子，端坐在榻上。
羽缎,2,衣料织物,4,4,8,贾宝玉奇缘识金锁 薛宝钗巧合认通灵,,,”宝玉因见他外面罩着大红羽缎对襟褂子，便问：“下雪了么？
翡翠,2,颜色纹样,4,4,3,托内兄如海荐西宾 接外孙贾母惜孤女,,兼指翡翠首饰与翡翠色,头上戴着金丝八宝攒珠髻，绾朝阳五凤挂珠钗，项上戴着赤金盘螭缨络圈，身上穿着缕金百蝶穿花大红云缎窄裉袄，外罩五彩刻丝石青银鼠褂，下着翡翠撒花洋绉裙。
蔷薇硝,3,妆饰脂粉,4,4,59,柳叶渚边嗔莺叱燕 绛芸轩里召将飞符,,,湘云因说两腮作痒，恐又犯了桃花癣，因问宝钗要些蔷薇硝擦。
蟒缎,2,衣料织物,4,4,28,蒋玉函情赠茜香罗 薛宝钗羞笼红麝串,,,到了房里，凤姐命人取过笔砚纸来，向宝玉道：“大红妆缎四十匹，蟒缎四十匹，各色上用纱一百匹，金项圈四个。
绸,1,衣料织物,3,36,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,茶未吃了，只见一个穿红绩袄青绸掐牙背心的一个丫鬟走来笑道：“太太说：请林姑娘到那边坐罢。
冠,1,服饰品类,3,32,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,一日到了京都，雨村先整了衣冠，带着童仆，拿了宗侄的名帖至荣府门上投了。
绒,1,衣料织物,3,10,5,贾宝玉神游太虚境 警幻仙曲演红楼梦,,,因看房内瑶琴、宝鼎、古画、新诗，无所不有，更喜窗下亦有唾绒，奁间时渍粉污。
膏子,2,妆饰脂粉,3,5,9,训劣子李贵承申饬 嗔顽童茗烟闹书房,,,那胭脂膏子也等我来再制。
嫣红,2,颜色纹样,3,4,23,西厢记妙词通戏语 牡丹亭艳曲警芳心,,,虽未留心去听，偶然两句吹到耳朵内，明明白白一字不落道：“原来是姹紫嫣红开遍，似这般都付与断井颓垣。
手帕,2,服饰品类,3,4,19,情切切良宵花解语 意绵绵静日玉生香,,,”说着，捻了几个松瓤，吹去细皮，用手帕托着给他。
玉簪,2,首饰佩饰,3,4,21,贤袭人娇嗔箴宝玉 俏平儿软语救贾琏,,,”宝玉见他娇嗔满面，情不可禁，便向枕边拿起一根玉簪来，一跌两段，说道：“我再不听你说，就和这簪子一样！
凫靥裘,3,衣料织物,3,3,49,琉璃世界白雪红梅 脂粉香娃割腥啖膻,,,”说着，只见宝琴披着凫靥裘，站在那里笑。
宫绸,2,衣料织物,3,3,18,皇恩重元妃省父母 天伦乐宝玉呈才藻,,,”额外赏了两匹宫绸，两个荷包，并金银锞子之类。
带子,2,服饰品类,3,3,27,滴翠亭杨妃戏彩蝶 埋香冢飞燕泣残红,,,不多时回来，不见凤姐在山坡上了，因见司棋从山洞里出来，站着系带子，便起来问道：“姐姐，不知道二奶奶往那里去了？
折枝,2,颜色纹样,3,3,40,史太君两宴大观园 金鸳鸯三宣牙牌令,,,”一面说，一面碧月早已捧过一个大荷叶式的翡翠盘子来，里面养着各色折枝菊花。
松花色,3,颜色纹样,3,3,35,白玉钏亲尝莲叶羹 黄金莺巧结梅花络,,,宝玉道：“松花色配什么？
洋绉,2,衣料织物,3,3,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,头上戴着金丝八宝攒珠髻，绾朝阳五凤挂珠钗，项上戴着赤金盘螭缨络圈，身上穿着缕金百蝶穿花大红云缎窄裉袄，外罩五彩刻丝石青银鼠褂，下着翡翠撒花洋绉裙。
百蝶,2,颜色纹样,3,3,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,头上戴着金丝八宝攒珠髻，绾朝阳五凤挂珠钗，项上戴着赤金盘螭缨络圈，身上穿着缕金百蝶穿花大红云缎窄裉袄，外罩五彩刻丝石青银鼠褂，下着翡翠撒花洋绉裙。
盘金,2,颜色纹样,3,3,49,琉璃世界白雪红梅 脂粉香娃割腥啖膻,,,”一面说，一面脱了褂子，只见他里头穿着一件半新的靠色三厢领袖秋香色盘金五色绣龙窄小袖掩衿银鼠短袄，里面短短的一件水红妆缎狐肷摺子，腰里紧紧束着一条蝴蝶结子长穗五色宫绦，…
短袄,2,服饰品类,3,3,45,金兰契互剖金兰语 风雨夕闷制风雨词,,,”黛玉看他脱了蓑衣，里面只穿半旧红绫短袄，系着绿汗巾子，膝上露出绿绸撒花裤子，底下是掐金满绣的绵纱抹子，着蝴蝶落花鞋。
绫罗,2,衣料织物,3,3,6,贾宝玉初试云雨情 刘老老一进荣国府,,,刘老老见平儿遍身绫罗，插金戴银，花容月貌，便当是凤姐儿了，才要称“姑奶奶”，只见周瑞家的说：“他是平姑娘。
背心,2,服饰品类,3,3,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,茶未吃了，只见一个穿红绩袄青绸掐牙背心的一个丫鬟走来笑道：“太太说：请林姑娘到那边坐罢。
蝉翼纱,3,衣料织物,3,3,40,史太君两宴大观园 金鸳鸯三宣牙牌令,,,”凤姐儿忙道：“昨儿我开库房，看见大板箱里还有好几匹银红蝉翼纱，也有各样折枝花样的，也有‘流云蝙蝠’花样的，也有‘百蝶穿花’花样的，颜色又鲜，纱又轻软，我竟没见这个样的…
袍子,2,服饰品类,3,3,31,撕扇子作千金一笑 因麒麟伏白首双星,,,可记得旧年三四月里，他在这里住着，把宝兄弟的袍子穿上，靴子也穿上，带子也系上，猛一瞧，活脱儿就象是宝兄弟，就是多两个坠子。
软烟罗,3,衣料织物,3,3,40,史太君两宴大观园 金鸳鸯三宣牙牌令,,,正经名字叫‘软烟罗’。
通灵宝玉,4,首饰佩饰,3,3,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,士隐接了看时，原来是块鲜明美玉，上面字迹分明，镌着“通灵宝玉”四字，后面还有几行小字。
青纱,2,衣料织物,3,3,40,史太君两宴大观园 金鸳鸯三宣牙牌令,,,床上只吊着青纱帐坦，衾褥也十分朴素。
香囊,2,首饰佩饰,3,3,73,痴丫头误拾绣春囊 懦小姐不问累金凤,,,无事时便入园内来玩耍，正往山石背后掏促织去，忽见一个五彩绣香囊，上面绣的并非花鸟等物，一面却是两个人赤条条的相抱，一面是几个字。
缎,1,衣料织物,2,53,2,贾夫人仙逝扬州城 冷子兴演说荣国府,,,次日，早有雨村遣人送了两封银子、四匹锦缎，答谢甄家娘子；
镯,1,首饰佩饰,2,15,21,贤袭人娇嗔箴宝玉 俏平儿软语救贾琏,,,湘云却一把青丝，拖于枕畔，一幅桃红绸被只齐胸盖着，衬着那一弯雪白的膀子，撂在被外，上面明显着两个金镯子。
麻,1,衣料织物,2,15,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,可巧这日拄了拐扎挣到街前散散心时，忽见那边来了一个跛足道人，疯狂落拓，麻鞋鹑衣，口内念着几句言词道：
帽,1,服饰品类,2,13,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,因嫌纱帽小，致使锁枷扛。
履,1,服饰品类,2,12,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,弟每谓兄必非久居人下者，今所吟之句，飞腾之兆已见，不日可接履于云霄之上了。
貂,1,皮毛貂裘,2,8,6,贾宝玉初试云雨情 刘老老一进荣国府,,,那凤姐家常带着紫貂昭君套，围着那攒珠勒子，穿着桃红洒花袄，石青刻丝灰鼠披风，大红洋绉银鼠皮裙，粉光脂艳，端端正正坐在那里，手内拿着小铜火箸儿拨手炉内的灰。
柳绿,2,颜色纹样,2,4,5,贾宝玉神游太虚境 警幻仙曲演红楼梦,,,〔虚花悟〕将那三春勘破，桃红柳绿待如何？
流云,2,颜色纹样,2,4,17,大观园试才题对额 荣国府归省庆元宵,,,原来四面皆是雕空玲珑木板，或“流云百蝠”，或“岁寒三友”，或山水人物，或翎毛花卉，或集锦，或博古，或万福万寿，各种花样，皆是名手雕镂五彩，销金嵌玉的。
浆,1,缝织浆洗,2,3,46,尴尬人难免尴尬事 鸳鸯女誓绝鸳鸯偶,,,他嫂子也是老太太那边浆洗上的头儿。
