词条,字数,所属子类,独立成词频次,字面频次,首现章回,首现回目,其他归属,备注,例句
巷,1,道路街巷,1,12,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,这阊门外有个十里街，街内有个仁清巷，巷内有个古庙，因地方狭窄，人皆呼作“葫芦庙”。
还乡,2,出行活动,1,6,7,送宫花贾琏戏熙凤 宴宁府宝玉会秦钟,,,实对你老人家说，你女婿因前儿多喝了点子酒，和人分争起来，不知怎么叫人放了把邪火，说他来历不明，告到衙门里，要递解还乡。
桨,1,车轿舟船,1,3,5,贾宝玉神游太虚境 警幻仙曲演红楼梦,,,琼桨满泛玻璃盏，玉液浓斟琥珀杯。
辔,1,牲畜坐骑,1,3,29,享福人福深还祷福 多情女情重愈斟情,,,只见前头的全副执事摆开，一位青年公子骑着银鞍白马，彩辔朱缨，在那八人轿前领着，那些车轿人马，浩浩荡荡，一片锦绣香烟，遮天压地而来，却是鸦雀无闻，只有车轮马蹄之声。
马鞭,2,牲畜坐骑,1,2,9,训劣子李贵承申饬 嗔顽童茗烟闹书房,,,”墨雨遂掇起一根门闩，扫红、锄药手中都是马鞭子，蜂拥而上。
住宿,2,出行活动,1,1,64,幽淑女悲题五美吟 浪荡子情遗九龙佩,,,所以贾琏便欲趁此时下手，遂托相伴贾珍为名，亦在寺中住宿。
出京,2,出行活动,1,1,114,王熙凤历幻返金陵 甄应嘉蒙恩还玉阙,,,弟奉旨出京，不敢久留。
发丧,2,出行活动,1,1,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,不过叙些黛玉之母如何得病，如何请医服药，如何送死发丧。
回乡,2,出行活动,1,1,17,大观园试才题对额 荣国府归省庆元宵,,,遗言说他：‘不宜回乡，在此静候，自有结果。
大船,2,车轿舟船,1,1,5,贾宝玉神游太虚境 警幻仙曲演红楼梦,,,后面又画着两个人放风笋，一片大海，一只大船，船中有一女子掩面泣涕之状。
小巷,2,道路街巷,1,1,16,贾元春才选凤藻宫 秦鲸卿夭逝黄泉路,,,当日宁、荣二宅，虽有一条小巷界断不通，然亦系私地，并非官道，故可以联络。
应试,2,出行活动,1,1,81,占旺相四美钓游鱼 奉严词两番入家塾,,,比如应试选举，到底以文章为主。
打尖,2,出行活动,1,1,15,王凤姐弄权铁槛寺 秦鲸卿得趣馒头庵,,旅途歇息用语,那时秦钟正骑着马随他父亲的轿，忽见宝玉的小厮跑来请他去打尖。
朱轮华盖车,5,车轿舟船,1,1,29,享福人福深还祷福 多情女情重愈斟情,,,少时贾母等出来，贾母坐一乘八人大轿，李氏、凤姐、薛姨妈每人一乘四人轿，宝钗、黛玉二人共坐一辆翠盖珠缨八宝车，迎春、探春、惜春三人共坐一辆朱轮华盖车。
歇脚,2,出行活动,1,1,66,情小妹耻情归地府 冷二郎一冷入空门,,,不过暂来歇脚而已。
画舫,2,车轿舟船,1,1,87,感秋声抚琴悲往事 坐禅寂走火入邪魔,,,香车画舫，红杏青帘，惟我独尊。
胡同,2,道路街巷,1,1,83,省宫闱贾元妃染恙 闹闺阃薛宝钗吞声,,,只是满城里茶坊酒铺儿以及各胡同儿都是这样说，况且不是一年了，那里握的住众人的嘴？
船坞,2,车轿舟船,1,1,40,史太君两宴大观园 金鸳鸯三宣牙牌令,,,命小厮传驾娘们，到船坞里撑两只船来。
船家,2,车轿舟船,1,1,63,寿怡红群芳开夜宴 死金丹独艳理亲丧,,,湘云笑指那自行船给黛玉看，又说：“快坐上那船家去罢，别多说了。
街道,2,道路街巷,1,1,18,皇恩重元妃省父母 天伦乐宝玉呈才藻,,,外面又有工部官员并五城兵马司打扫街道，撵逐闲人。
赶考,2,出行活动,1,1,54,史太君破陈腐旧套 王熙凤效戏彩斑衣,,,”女先儿又说道：“那年王老爷打发了王公子上京赶考，那日遇了大雨，到了一个庄子上避雨。
赶路,2,出行活动,1,1,96,瞒消息凤姐设奇谋 泄机关颦儿迷本性,,,又加贾琏打听明白了，来说道：“舅太爷是赶路劳乏，偶然感冒风寒，到了十里屯地方，延医调治，无奈这个地方没有名医，误用了药，一剂就死了。
车驾,2,行装行李,1,1,18,皇恩重元妃省父母 天伦乐宝玉呈才藻,,,茶三献，贾妃降座，乐止，退入侧室更衣，方备省亲车驾出园。
轿车,2,车轿舟船,1,1,83,省宫闱贾元妃染恙 闹闺阃薛宝钗吞声,,,一到卯初，林之孝合赖大进来，至二门口回道：“轿车俱已齐备，在门夕外伺候着呢。
遮阳,2,行装行李,1,1,40,史太君两宴大观园 金鸳鸯三宣牙牌令,,,李纨道：“恐怕老太太高兴，越发把船上划子、篙、桨、遮阳幔子，都搬下来预备着。
驿,1,出行活动,1,1,120,甄士隐详说太虚情 贾雨村归结红楼梦,,,一日，行到陵驿地方，那天乍寒，下雪，泊在一个清静去处。
篷,1,车轿舟船,0,19,8,贾宝玉奇缘识金锁 薛宝钗巧合认通灵,,原文中未独立成词，多嵌于更长词语内,”宝玉道：“取了我的斗篷来。
筏,1,车轿舟船,0,6,5,贾宝玉神游太虚境 警幻仙曲演红楼梦,,原文中未独立成词，多嵌于更长词语内,中无舟揖可通，只有一个木筏，乃木居士掌柁，灰侍者撑篙，不受金银之谢，但遇有缘者渡之。
帆,1,车轿舟船,0,2,5,贾宝玉神游太虚境 警幻仙曲演红楼梦,,原文中未独立成词，多嵌于更长词语内,〔分骨肉〕一帆风雨路三千，把骨肉家园，齐来抛闪。
驴,1,牲畜坐骑,0,2,41,贾宝玉品茶栊翠庵 刘老老醉卧怡红院,,原文中未独立成词，多嵌于更长词语内,岂不闻一杯为品，二杯即是解渴的蠢物，三杯便是饮驴了。
朱轮,2,车轿舟船,0,1,29,享福人福深还祷福 多情女情重愈斟情,,原文中未独立成词，多嵌于更长词语内,少时贾母等出来，贾母坐一乘八人大轿，李氏、凤姐、薛姨妈每人一乘四人轿，宝钗、黛玉二人共坐一辆翠盖珠缨八宝车，迎春、探春、惜春三人共坐一辆朱轮华盖车。
