词条,字数,所属子类,独立成词频次,字面频次,首现章回,首现回目,其他归属,备注,例句
椅子,2,室内陈设,28,28,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,黛玉心中料定这是贾政之位，因见挨炕一溜三张椅子上也搭着半旧的弹花椅袱，黛玉便向椅上坐了。
帐,1,室内陈设,27,60,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,昨日黄土陇头埋白骨，今宵红绡帐底卧鸳鸯。
桂花,2,园林景致,27,31,5,贾宝玉神游太虚境 警幻仙曲演红楼梦,,,拿起一本册来打开看时，只见首页也是画，却画着一枝桂花，下面有一方池沼，其中水涸泥干，莲枯藕败。
桌子,2,室内陈设,27,28,19,情切切良宵花解语 意绵绵静日玉生香,,,彼时他母兄已是忙着齐齐整整的摆上一桌子果品来，袭人见总无可吃之物，因笑道：“既来了，没有空回去的理，好歹尝一点儿，也是来我家一趟。
当铺,2,建筑形制,27,27,37,秋爽斋偶结海棠社 蘅芜院夜拟菊花题,,,我们当铺里有个伙计，他们地里出的好螃蟹，前儿送了几个来。
盒子,2,室内陈设,26,28,21,贤袭人娇嗔箴宝玉 俏平儿软语救贾琏,,,”宝玉不答，因镜台两边都是妆奁等物，顺手拿起来赏玩，不觉拈起了一盒子胭脂，竟欲往一边送，又怕湘云说。
院子,2,建筑形制,25,25,6,贾宝玉初试云雨情 刘老老一进荣国府,,,”引着刘老老进了后院，到一个院子墙边，指道：“这就是他家。
打扫,2,起居生活,24,24,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,你们赶早打扫两间屋子，叫他们歇歇儿去。
芙蓉,2,园林景致,24,24,7,送宫花贾琏戏熙凤 宴宁府宝玉会秦钟,,,东西药料一概却都有限，最难得是‘可巧’二子：要春天开的白牡丹花蕊十二两，夏天开的白荷花蕊十二两，秋天开的白芙蓉蕊十二两，冬天开的白梅花蕊十二两。
园,1,建筑形制,23,577,2,贾夫人仙逝扬州城 冷子兴演说荣国府,,,大门外虽冷落无人，隔着围墙一望，里面厅殿楼阁也还都峥嵘轩峻，就是后边一带花园里，树木山石，也都还有葱蔚洇润之气，那里象个衰败之家。
柳,1,园林景致,23,188,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,阶柳庭花，更觉得润人笔墨。
床,1,室内陈设,22,160,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,兼指睡床与床架,所以蓬牖茅椽，绳床瓦灶，并不足妨我襟怀；
上屋,2,建筑形制,22,22,20,王熙凤正言弹妒意 林黛玉俏语谑娇音,,,”宝玉听说，只得依他，看着他去了簪环躺下，才去上屋里跟着贾母吃饭。
匣子,2,室内陈设,22,22,6,贾宝玉初试云雨情 刘老老一进荣国府,,,忽见堂屋中柱子上挂着一个匣子，底下又坠着一个秤陀似的，却不住的乱晃。
席,1,床帐被褥,21,184,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,兼指酒席、席位,一日，正当嗟悼之际，俄见一僧一道远远而来生得骨格不凡，丰神迥异，来到这青埂峰下，席地坐谈。
墙,1,建筑形制,21,76,2,贾夫人仙逝扬州城 冷子兴演说荣国府,,,信步至一山环水游、茂林修竹之处，隐隐有座庙宇，门巷倾颓，墙垣剥落。
荣国府,3,园景府邸,21,21,2,贾夫人仙逝扬州城 冷子兴演说荣国府,,,街东是宁国府，街西是荣国府，二宅相连，竟将大半条街占了。
衾,1,床帐被褥,21,21,5,贾宝玉神游太虚境 警幻仙曲演红楼梦,,,”说着，亲自展开了西施浣过的纱衾，移了红娘抱过的鸳枕。
房屋,2,建筑形制,20,20,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,”王夫人忙携了黛玉，出后房门，由后廊往西，出了角门是一条南北甬路，南边是倒座三间小小抱厦厅，北边立着一个粉油大影壁，后有一个半大门，小小一所房屋。
稻香村,3,园景府邸,20,20,17,大观园试才题对额 荣国府归省庆元宵,,,唐人诗里，还有‘柴门临水稻花香’，何不用‘稻香村’的妙？
陈设,2,室内陈设,20,20,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,其徐陈设，不必细说。
亭,1,建筑形制,19,53,16,贾元春才选凤藻宫 秦鲸卿夭逝黄泉路,,,其山树木石虽不敷用，贾赦住的乃是荣府旧园，其中竹树山石以及亭栅栏杆等物，皆可挪就前来。
外书房,3,建筑形制,19,19,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,邢夫人让黛玉坐了，一面令人到外书房中请贾赦。
栊翠庵,3,园景府邸,19,19,41,贾宝玉品茶栊翠庵 刘老老醉卧怡红院,,,当下贾母等吃过了茶，又带了刘老老至栊翠庵来。
梨香院,3,园景府邸,19,19,4,薄命女偏逢簿命郎 葫芦僧判断葫芦案,,,咱们东南角上梨香院那一所房十来间白空闲着，叫人请了姨太太和姐儿哥儿住了甚好。
蘅芜苑,3,园景府邸,19,19,18,皇恩重元妃省父母 天伦乐宝玉呈才藻,,本版原文亦作 「蘅芜院」19 次，频次已合并,“蘅芷清芬”赐名“蘅芜院”。
居住,2,起居生活,18,19,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,黛玉虽不知原委，探春等却晓得是议论金陵城中居住的薛家姨母之子—表兄薛蟠，倚财仗势．打死人命，现在应天府案下审理。
仪门,2,建筑形制,18,18,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,拉至宽处，驾上驯骡，出了西角门往东，过荣府正门，入一黑油漆大门内，至仪门前方下了车。
学房,2,建筑形制,18,18,10,金寡妇贪利权受辱 张太医论病细穷源,,,你如今要闹出了这个学房，再想找这么个地方儿，我告诉你说罢，比登天的还难呢！
屋,1,建筑形制,17,602,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,幸而士隐还有折变田产的银子在身边，拿出来托他随便置买些房地，以为后日衣食之计，那封肃便半用半赚的，略与他些薄田破屋。
毡,1,床帐被褥,17,36,6,贾宝玉初试云雨情 刘老老一进荣国府,衣-衣料织物,,上了正房台阶，小丫头打起猩红毡帘，才入堂屋，只闻一阵香扑了脸来，竟不知是何气味，身子就象在云端里一般。
宁国府,3,园景府邸,17,17,2,贾夫人仙逝扬州城 冷子兴演说荣国府,,,街东是宁国府，街西是荣国府，二宅相连，竟将大半条街占了。
楼,1,建筑形制,16,94,2,贾夫人仙逝扬州城 冷子兴演说荣国府,,,大门外虽冷落无人，隔着围墙一望，里面厅殿楼阁也还都峥嵘轩峻，就是后边一带花园里，树木山石，也都还有葱蔚洇润之气，那里象个衰败之家。
台阶,2,建筑形制,16,16,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,台阶上坐着几个穿红着绿的丫头，一见他们来了，都笑迎上来道：“刚才老太太还念诵呢！
游廊,2,建筑形制,16,16,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,黛玉扶着婆子的手进了垂花门，两边是超手游廊，正中是穿堂，当地放着一个紫檀架子大理石屏风。
堂,1,建筑形制,15,143,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,我堂堂须眉，诚不若彼裙钗，我实愧则有馀，悔又无益，大无可如何之日也。
帘,1,室内陈设,15,128,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,至一垂花门前落下，那小厮俱然退出，众婆子上前打起轿帘，扶黛玉下了轿。
花园,2,建筑形制,15,16,2,贾夫人仙逝扬州城 冷子兴演说荣国府,,,大门外虽冷落无人，隔着围墙一望，里面厅殿楼阁也还都峥嵘轩峻，就是后边一带花园里，树木山石，也都还有葱蔚洇润之气，那里象个衰败之家。
妆奁,2,室内陈设,15,15,21,贤袭人娇嗔箴宝玉 俏平儿软语救贾琏,衣-妆饰脂粉,,”宝玉不答，因镜台两边都是妆奁等物，顺手拿起来赏玩，不觉拈起了一盒子胭脂，竟欲往一边送，又怕湘云说。
暖阁,2,建筑形制,15,15,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,当下奶娘来问黛玉房舍，贾母便说：“将宝玉挪出来，同我在套间暖阁里，把你林姑娘暂且安置在碧纱厨里。
藕香榭,3,园景府邸,15,15,18,皇恩重元妃省父母 天伦乐宝玉呈才藻,,,更有“蓼风轩”、“藕香榭”、“紫菱洲”、“荇叶渚”等名。
院,1,建筑形制,14,362,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,”说着便同士隐复过这边书院中来了。
桌,1,室内陈设,14,143,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,正面炕上横设一张炕桌，上面堆着书籍茶具，靠东壁面西设着半旧的青缎靠背引枕。
大厅,2,建筑形制,14,14,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,众嬷嬷引着便往东转弯，走过一座东西穿堂、向南大厅之后仪门内大院落，上面五间大正房，两边厢房，鹿顶，耳门钻山，四通八达，轩昂壮丽，比各处不同。
枕头,2,床帐被褥,14,14,12,王熙凤毒设相思局 贾天祥正照风月鉴,,,”一面在枕头上磕头。
台,1,建筑形制,13,93,2,贾夫人仙逝扬州城 冷子兴演说荣国府,,兼指台阶与楼台,这林如海姓林名海，表字如海，乃是前科的探花，今已升兰台寺大夫，本贯姑苏人氏，今钦点为巡盐御史，到任未久。
落花,2,园林景致,13,15,4,薄命女偏逢簿命郎 葫芦僧判断葫芦案,,,只打了个落花流水，生拖死拽把个英莲拖去，如今也不知死活。
菊花,2,园林景致,13,13,11,庆寿辰宁府排家宴 见熙凤贾瑞起淫心,,,但是这时候，天气又凉爽，满园的菊花盛开，请老祖宗过来散散闷，看看众儿孙热热闹闹的，是这个意思。
铺盖,2,床帐被褥,13,13,21,贤袭人娇嗔箴宝玉 俏平儿软语救贾琏,,,一面命平儿打点铺盖衣服与贾琏隔房；
阁,1,建筑形制,12,79,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,知我之负罪固多，然闺阁中历历有人，万不可因我之不肖，自护己短，一并使其泯灭也。
围屏,2,室内陈设,12,12,22,听曲文宝玉悟禅机 制灯迷贾政悲谶语,,,贾母见元春这般有兴，自己一发喜乐，便命速作一架小巧精致围屏灯来，设于堂屋，命他姊妹们各自暗暗的做了，写出来粘在屏上；
正房,2,建筑形制,12,12,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,转过屏风，小小三间厅房，厅后便是正房大院。
穿堂,2,建筑形制,12,12,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,黛玉扶着婆子的手进了垂花门，两边是超手游廊，正中是穿堂，当地放着一个紫檀架子大理石屏风。
靠背,2,床帐被褥,12,12,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,正面炕上横设一张炕桌，上面堆着书籍茶具，靠东壁面西设着半旧的青缎靠背引枕。
盆,1,室内陈设,11,83,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,大紫檀雕螭案上设着三尺多高青绿古铜鼎，悬着待漏随朝墨龙大画，一边是錾金彝，一边是玻璃盆。
架,1,室内陈设,11,76,2,贾夫人仙逝扬州城 冷子兴演说荣国府,,,如今外面的架子虽没很倒，内囊却也尽上来了。
椅,1,室内陈设,11,66,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,地下两溜十六张楠木圈椅。
炉,1,室内陈设,11,50,6,贾宝玉初试云雨情 刘老老一进荣国府,,,那凤姐家常带着紫貂昭君套，围着那攒珠勒子，穿着桃红洒花袄，石青刻丝灰鼠披风，大红洋绉银鼠皮裙，粉光脂艳，端端正正坐在那里，手内拿着小铜火箸儿拨手炉内的灰。
灯笼,2,室内陈设,11,15,10,金寡妇贪利权受辱 张太医论病细穷源,,,倘或他有个好歹，你再要娶这么一个媳妇儿，这么个模样儿，这么个性格儿，只怕打着灯笼儿也没处找去呢！
关门,2,起居生活,11,14,30,宝钗借扇机带双敲 椿龄画蔷痴及局外,,,素日开门关门的都是小丫头们的事，他们是憨皮惯了的，早已恨的人牙痒痒。
下房,2,建筑形制,11,11,37,秋爽斋偶结海棠社 蘅芜院夜拟菊花题,,,袭人听说，便命他们摆好，让他们在下房里坐了。
古董,2,室内陈设,11,11,2,贾夫人仙逝扬州城 冷子兴演说荣国府,,,”雨村忙看时，此人是都中古董行中贸易姓冷号子兴的，旧日在都相识。
家塾,2,建筑形制,11,11,7,送宫花贾琏戏熙凤 宴宁府宝玉会秦钟,,,我们家却有个家塾，合族中有不能延师的便可入塾读书，亲戚子弟可以附读。
抱厦,2,建筑形制,11,11,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,”王夫人忙携了黛玉，出后房门，由后廊往西，出了角门是一条南北甬路，南边是倒座三间小小抱厦厅，北边立着一个粉油大影壁，后有一个半大门，小小一所房屋。
沁芳亭,3,园景府邸,11,11,26,蜂腰桥设言传心事 潇湘馆春困发幽情,,,出了恰红院，一径往宝钗院内来，刚至沁芳亭畔，只见宝玉的奶娘李嬷嬷从那边来。
火盆,2,室内陈设,11,11,51,薛小妹新编怀古诗 胡庸医乱用虎狼药,,,”说着又将火盆上的铜罩据起，拿灰锹重将熟炭埋了一埋，拈了两块速香放上，仍旧罩了。
痰盒,2,室内陈设,11,11,14,林如海灵返苏州郡 贾宝玉路遏北静王,,,这下剩的按房分开，某人守某处，某处所有桌椅古玩起，至于痰盒掸子等物，一草一苗，或丢或坏，就问这看守的赔补。
芭蕉,2,园林景致,11,11,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,方举步时，忽听一声霹雳若山崩地陷，士隐大叫一声，定睛看时，只见烈日炎炎，芭蕉冉冉，梦中之事便忘了一半。
莲,1,园林景致,10,134,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,只是一件不足：年过半百，膝下无儿，只有一女，乳名英莲，年方三岁。
桥,1,园林景致,10,36,5,贾宝玉神游太虚境 警幻仙曲演红楼梦,,,因二人携手出去游玩之时，忽然至一个所在，但见荆榛遍地，狼虎同行，迎面一道黑溪阻路，并无桥梁可通。
榭,1,建筑形制,10,26,11,庆寿辰宁府排家宴 见熙凤贾瑞起淫心,,,遥望东南，建几处倚山之榭；
杏花,2,园林景致,10,13,17,大观园试才题对额 荣国府归省庆元宵,,,有几百枝杏花，如喷火蒸霞一般。
手炉,2,室内陈设,10,10,6,贾宝玉初试云雨情 刘老老一进荣国府,,,那凤姐家常带着紫貂昭君套，围着那攒珠勒子，穿着桃红洒花袄，石青刻丝灰鼠披风，大红洋绉银鼠皮裙，粉光脂艳，端端正正坐在那里，手内拿着小铜火箸儿拨手炉内的灰。
柜子,2,室内陈设,10,10,19,情切切良宵花解语 意绵绵静日玉生香,,,”黛玉笑道：“连我也不知道，想必是柜子里头的香气熏染的，也未可知。
荷叶,2,园林景致,10,10,9,训劣子李贵承申饬 嗔顽童茗烟闹书房,,,”吓的李贵忙双膝跪下，摘了帽子碰头，连连答应“是”，又回说：“哥儿已经念到第三本《诗经》，什么‘攸攸鹿鸣，荷叶浮萍’，小的不敢撒谎。
账房,2,建筑形制,10,10,11,庆寿辰宁府排家宴 见熙凤贾瑞起淫心,,,方才南安郡王、东平郡王、西宁郡王、北静郡王四家王爷，并镇国公牛府等六家、忠靖侯史府等人家，都差人持名帖送寿礼来，俱回了我父亲，收在账房里。
案,1,室内陈设,9,82,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,”那僧笑道：“你放心，如今现有一段风流公案正该了结，这一干风流冤家尚末投胎人世。
竹,1,园林景致,9,78,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,因这甄士隐秉性恬淡，不以功名为念，每日只以观花种竹。
箱,1,室内陈设,9,74,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,金满箱，银满箱，转眼乞丐人皆谤。
牡丹,2,园林景致,9,12,7,送宫花贾琏戏熙凤 宴宁府宝玉会秦钟,,,东西药料一概却都有限，最难得是‘可巧’二子：要春天开的白牡丹花蕊十二两，夏天开的白荷花蕊十二两，秋天开的白芙蓉蕊十二两，冬天开的白梅花蕊十二两。
会芳园,3,园景府邸,9,9,5,贾宝玉神游太虚境 警幻仙曲演红楼梦,,,贾母等于早饭后过来，就在会芳园游玩，先茶后酒。
坐褥,2,床帐被褥,9,9,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,王夫人却坐在西边下首，亦是半旧青缎靠背坐褥。
家庙,2,建筑形制,9,9,23,西厢记妙词通戏语 牡丹亭艳曲警芳心,,,依我的主意，不如将他们都送到家庙铁槛寺去，月间不过派一个人拿几两银子去买柴米就是了。
手巾,2,室内陈设,9,9,21,贤袭人娇嗔箴宝玉 俏平儿软语救贾琏,,,”又洗了两把，便要手巾。
脚踏,2,室内陈设,9,9,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,地下面西一溜四张大椅，都搭着银红撒花椅搭，底下四副脚踏。
葬花,2,起居生活,9,9,27,滴翠亭杨妃戏彩蝶 埋香冢飞燕泣残红,,,花开易见落难寻，阶前愁杀葬花人。
松,1,园林景致,8,65,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,身上穿着银红撒花半旧大袄，仍旧带着项圈、宝玉、寄名锁、护身符等物，下面半露松绿撒花绫裤，锦边弹墨袜，厚底大红鞋。
匣,1,室内陈设,8,38,6,贾宝玉初试云雨情 刘老老一进荣国府,,,忽见堂屋中柱子上挂着一个匣子，底下又坠着一个秤陀似的，却不住的乱晃。
蔷薇,2,园林景致,8,12,17,大观园试才题对额 荣国府归省庆元宵,,,”一面引人出来，转过山坡，穿花度柳，抚石依泉，过了荼蘼茂架，入木香棚，越牡丹亭，度芍药圃，到蔷薇院，傍芭蕉坞里盘旋曲折。
厢房,2,建筑形制,8,10,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,正面五间上房，皆是雕梁画栋，两边穿山游廊厢房，挂着各色鹦鹉画眉等雀鸟。
炕桌,2,室内陈设,8,9,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,正面炕上横设一张炕桌，上面堆着书籍茶具，靠东壁面西设着半旧的青缎靠背引枕。
卧房,2,建筑形制,8,8,5,贾宝玉神游太虚境 警幻仙曲演红楼梦,,,说着大家来至秦氏卧房。
回廊,2,建筑形制,8,8,5,贾宝玉神游太虚境 警幻仙曲演红楼梦,,,但行处鸟惊庭树，将到时影度回廊。
杌子,2,室内陈设,8,8,19,情切切良宵花解语 意绵绵静日玉生香,,,”一面将自己的坐褥拿了来，铺在一个杌子上，扶着宝玉坐下，又用自己的脚炉垫了脚，向荷包内取出两个梅花香饼儿来，又将自己的手炉掀开焚上，仍盖好，放在宝玉怀里，然后将自己的茶…
花厅,2,建筑形制,8,8,43,闲取乐偶攒金庆寿 不了情暂撮土为香,,,”老婆子们回道：“在新盖的大花厅上呢。
花木,2,园林景致,8,8,17,大观园试才题对额 荣国府归省庆元宵,,,说着，进入石洞，只见佳木茏葱，奇花烂漫，一带清流，从花木深处泻于石隙之下。
褥子,2,床帐被褥,8,8,11,庆寿辰宁府排家宴 见熙凤贾瑞起淫心,,,”于是就坐在秦氏坐的褥子上。
铺陈,2,室内陈设,8,8,5,贾宝玉神游太虚境 警幻仙曲演红楼梦,,,”及看了这两句，纵然室宇精美，铺陈华丽，亦断断不肯在这里了，忙说：“快出去，快出去！
镜,1,室内陈设,7,77,5,贾宝玉神游太虚境 警幻仙曲演红楼梦,,,案上设着武则天当日镜室中设的宝镜，一边摆着赵飞燕立着舞的金盘，盘内盛着安禄山掷过伤了太真乳的木瓜。
斋,1,建筑形制,7,32,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,贾兄来得正好，请入小斋，彼此俱可消此永昼。
芍药,2,园林景致,7,9,17,大观园试才题对额 荣国府归省庆元宵,,,”一面引人出来，转过山坡，穿花度柳，抚石依泉，过了荼蘼茂架，入木香棚，越牡丹亭，度芍药圃，到蔷薇院，傍芭蕉坞里盘旋曲折。
书架,2,室内陈设,7,7,37,秋爽斋偶结海棠社 蘅芜院夜拟菊花题,,,”说着，走到书架前，抽出一本诗来随手一揭。
引枕,2,床帐被褥,7,7,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,临窗大炕上铺着猩红洋毯，正面设着大红金线蟒引枕，秋香色金钱蟒大条褥，两边设一对梅花式洋漆小几，左边几上摆着文王鼎，鼎旁匙著香盒，右边几上摆着汝窑美人觚，里面插着时鲜花草。
沁芳桥,3,园林景致,7,7,26,蜂腰桥设言传心事 潇湘馆春困发幽情,,,刚到了沁芳桥，只见各色水禽尽都在池中浴水，也认不出名色来，但见一个个文彩闪灼，好看异常，因而站住，看了一回。
熏笼,2,室内陈设,7,7,51,薛小妹新编怀古诗 胡庸医乱用虎狼药,,,睛雯只在熏笼上围坐，麝月笑道：“你今儿别装小姐了，我劝你也动一动儿。
紫菱洲,3,园景府邸,7,7,18,皇恩重元妃省父母 天伦乐宝玉呈才藻,,,更有“蓼风轩”、“藕香榭”、“紫菱洲”、“荇叶渚”等名。
蜡烛,2,室内陈设,7,7,14,林如海灵返苏州郡 贾宝玉路遏北静王,,,这八个单管各处灯油、蜡烛、纸札，我一总支了来，交给你们八个人，然后按我的数儿往各处分派。
院落,2,建筑形制,7,7,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,众嬷嬷引着便往东转弯，走过一座东西穿堂、向南大厅之后仪门内大院落，上面五间大正房，两边厢房，鹿顶，耳门钻山，四通八达，轩昂壮丽，比各处不同。
幔,1,室内陈设,6,14,14,林如海灵返苏州郡 贾宝玉路遏北静王,,,这四十个人也分作两班，单在灵前上香、添油、挂幔、守灵、供饭、供茶、随起举哀，也不管别的事。
卧室,2,建筑形制,6,6,8,贾宝玉奇缘识金锁 薛宝钗巧合认通灵,,,”一面说，一面来至自己卧室。
池,1,园林景致,5,46,5,贾宝玉神游太虚境 警幻仙曲演红楼梦,,,若非宴罢归来，瑶池不二；
河,1,园林景致,5,38,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,他却常在西方灵河岸上行走，看见那灵河岸上三生石畔有棵绛珠仙草，十分娇娜可爱，遂日以甘露灌溉，这绛珠草始得久延岁月。
柜,1,室内陈设,5,23,19,情切切良宵花解语 意绵绵静日玉生香,,,”黛玉笑道：“连我也不知道，想必是柜子里头的香气熏染的，也未可知。
苔,1,园林景致,5,16,17,大观园试才题对额 荣国府归省庆元宵,,,上面苔藓斑驳，或藤萝掩映，其中微露羊肠小径。
竹椅,2,室内陈设,5,6,41,贾宝玉品茶栊翠庵 刘老老醉卧怡红院,,,凤姐忙命人将小竹椅抬来，贾母坐上，两个婆子抬起，凤姐、李纨和众丫头婆子围随去了，不在话下。
寄居,2,起居生活,5,5,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,这士隐正在痴想，忽见隔壁葫芦庙内寄居的一个穷儒，姓贾名化、表字时飞、别号雨村的走来。
石榴,2,园林景致,5,5,27,滴翠亭杨妃戏彩蝶 埋香冢飞燕泣残红,食-果品干果,,”宝玉听说，便跟了他，离了钗、玉两个，到了一棵石榴树下。
祠堂,2,建筑形制,5,5,7,送宫花贾琏戏熙凤 宴宁府宝玉会秦钟,,,焦大益发连贾珍都说出来，乱嚷乱叫，说：“要往祠堂里哭太爷去，那里承望到如今生下这些畜生来！
秋爽斋,3,园景府邸,5,5,37,秋爽斋偶结海棠社 蘅芜院夜拟菊花题,,,一面说，一面同翠墨往秋爽斋来。
耳房,2,建筑形制,5,5,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,”原来王夫人时常居坐宴息也不在这正室中，只在东边的三间耳房内。
荷花,2,园林景致,5,5,5,贾宝玉神游太虚境 警幻仙曲演红楼梦,,,根并荷花一茎香，平生遭际实堪伤。
香炉,2,室内陈设,5,5,17,大观园试才题对额 荣国府归省庆元宵,,,”众人听说，也百说该题“叠翠”二字的，也有说该题“锦嶂”的，又有说“赛香炉”的，又有说“小终南”的，种种名色，不止几十个。
盒,1,室内陈设,4,73,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,临窗大炕上铺着猩红洋毯，正面设着大红金线蟒引枕，秋香色金钱蟒大条褥，两边设一对梅花式洋漆小几，左边几上摆着文王鼎，鼎旁匙著香盒，右边几上摆着汝窑美人觚，里面插着时鲜花草。
井,1,园林景致,4,30,6,贾宝玉初试云雨情 刘老老一进荣国府,,,因狗儿白日间自作些生计，刘氏又操井臼等事，青、板姊弟两个无人照管，狗儿遂将岳母刘老老接来，一处过活。
迁,1,起居生活,4,12,18,皇恩重元妃省父母 天伦乐宝玉呈才藻,,,高柳喜迁莺出谷，修篁时待凤来仪。
翠竹,2,园林景致,4,5,17,大观园试才题对额 荣国府归省庆元宵,,,忽抬头见前面一带粉垣，数楹修舍，有千百竿翠竹遮映。
公馆,2,建筑形制,4,4,99,守官箴恶奴同破例 阅邸报老舅自担惊,,,一日，在公馆闲坐，见桌上堆着许多邸报。
内室,2,建筑形制,4,4,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,黛玉便知这方是正内室。
嘉荫堂,3,园景府邸,4,4,71,嫌隙人有心生嫌隙 鸳鸯女无意遇鸳鸯,,,大观园中收拾出缀锦阁并嘉荫堂等几处大地方来做退居。
屏风,2,室内陈设,4,4,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,黛玉扶着婆子的手进了垂花门，两边是超手游廊，正中是穿堂，当地放着一个紫檀架子大理石屏风。
捧盒,2,室内陈设,4,4,11,庆寿辰宁府排家宴 见熙凤贾瑞起淫心,食-饮馔器具,,话说是日贾敬的寿辰，贾珍先将上等可吃的东西、稀奇的果品，装了十六大捧盒，着贾蓉带领家下人送与贾敬去，向贾蓉说道：“你留神看太爷喜欢不喜欢，你就行了礼起来，说：‘父亲遵太…
摆设,2,室内陈设,4,4,5,贾宝玉神游太虚境 警幻仙曲演红楼梦,,,少刻，有小鬟来调桌安椅，摆设酒馔。
竹帘,2,室内陈设,4,4,17,大观园试才题对额 荣国府归省庆元宵,,,外有猩猩毡帘二百挂，湘妃竹帘一百挂，金丝藤红漆竹帘一百挂，黑漆竹帘一百挂，五彩线络盘花帘二百挂，每样得了一半，也不过秋天都全了。
荣禧堂,3,建筑形制,4,4,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,进入堂屋，抬头迎面先见一个赤金九龙青地大匾，匾上写着斗大三个字是“荣禧堂”，后有一行小字“某年月日书赐荣国公贾源”，又苍“万几宸翰”之宝。
议事厅,3,建筑形制,4,4,55,辱亲女愚妾争闲气 欺幼主刁奴蓄险心,,,这厅上也有一处匾，题着“辅仁谕德”四字，家下俗语皆只叫“议事厅儿”。
褥,1,床帐被褥,3,41,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,临窗大炕上铺着猩红洋毯，正面设着大红金线蟒引枕，秋香色金钱蟒大条褥，两边设一对梅花式洋漆小几，左边几上摆着文王鼎，鼎旁匙著香盒，右边几上摆着汝窑美人觚，里面插着时鲜花草。
