词条,字数,所属子类,独立成词频次,字面频次,首现章回,首现回目,其他归属,备注,例句
妆台,2,室内陈设,2,2,44,变生不测凤姐泼醋 喜出望外平儿理妆,衣-妆饰脂粉,,宝玉忙走至妆台前，将一个宣窑磁盒揭开，里面盛着一排十根玉簪花棒儿，拈了一根递与平儿。
宫灯,2,室内陈设,2,2,53,宁国府除夕祭宗祠 荣国府元宵开夜宴,,,窗格门户，一齐摘下，全挂彩穗各种宫灯。
小院,2,建筑形制,2,2,30,宝钗借扇机带双敲 椿龄画蔷痴及局外,,,我告诉你个巧方儿，你往东小院儿里头拿环哥儿和彩云去。
帐房,2,建筑形制,2,2,8,贾宝玉奇缘识金锁 薛宝钗巧合认通灵,,,可巧管库房的总领吴新登和仓上的头目名叫戴良的，同着几个管事的头目，共七个人从帐房里出来，一见宝玉，赶忙都一齐垂手站立。
库房,2,建筑形制,2,2,8,贾宝玉奇缘识金锁 薛宝钗巧合认通灵,,,可巧管库房的总领吴新登和仓上的头目名叫戴良的，同着几个管事的头目，共七个人从帐房里出来，一见宝玉，赶忙都一齐垂手站立。
拜帖,2,室内陈设,2,2,63,寿怡红群芳开夜宴 死金丹独艳理亲丧,,,”说着便将拜帖取给岫烟看。
斑竹,2,园林景致,2,2,37,秋爽斋偶结海棠社 蘅芜院夜拟菊花题,,,”又向众人道：“当日娥皇女英洒泪竹上成斑，故今斑竹又名湘妃竹。
条桌,2,室内陈设,2,2,40,史太君两宴大观园 金鸳鸯三宣牙牌令,,,”凤姐听说，忙命人出去叫来，赶着吩咐摆下条桌，铺上红毡子。
残荷,2,园林景致,2,2,40,史太君两宴大观园 金鸳鸯三宣牙牌令,,,”黛玉道：“我最不喜欢李义山的诗，只喜他这一句：‘留得残荷听雨声。
池塘,2,园林景致,2,2,18,皇恩重元妃省父母 天伦乐宝玉呈才藻,,,谁咏池塘曲？
睡卧,2,起居生活,2,2,64,幽淑女悲题五美吟 浪荡子情遗九龙佩,,,进入门来，只见院中寂静无人，有几个老婆子和那小丫头们在回廊下取便乘凉，也有睡卧的，也有坐着打盹的。
石洞,2,园林景致,2,2,17,大观园试才题对额 荣国府归省庆元宵,,,说着，进入石洞，只见佳木茏葱，奇花烂漫，一带清流，从花木深处泻于石隙之下。
缀锦楼,3,园景府邸,2,2,18,皇恩重元妃省父母 天伦乐宝玉呈才藻,,,东面飞楼曰“缀锦楼”。
羊角灯,3,室内陈设,2,2,45,金兰契互剖金兰语 风雨夕闷制风雨词,,,前头两个婆子打着伞，拿着羊角灯，后头还有两个小丫鬟打着伞。
花冢,2,园景府邸,2,2,23,西厢记妙词通戏语 牡丹亭艳曲警芳心,,,那畸角儿上我有一个花冢，如今把他扫了，装在这绢袋里，埋在那里，日久随土化了，岂不干净。
贾母院,3,园景府邸,2,2,84,试文字宝玉始提亲 探惊风贾环重结怨,,,刚过穿廊月洞门影屏，便一溜烟跑到贾母院门口。
铺面,2,建筑形制,2,2,48,滥情人情误思游艺 慕雅女雅集苦吟诗,,,展眼已到十月，因有各铺面伙计内有算年账要回家的，少不得家里治酒饯行。
馆,1,建筑形制,1,86,2,贾夫人仙逝扬州城 冷子兴演说荣国府,,,”雨村笑道：“去岁我在金陵，也曾有人荐我到甄府处馆。
轩,1,建筑形制,1,25,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,后因曹雪芹于悼红轩中，披阅十载，增删五次，纂成目录，分出章回，又题曰《金陵十二钗》，并题一绝。
泉,1,园林景致,1,22,5,贾宝玉神游太虚境 警幻仙曲演红楼梦,,,故向娘梦里边寻告：儿命己入黄泉，天伦呵，须要退步抽身早！
藤,1,园林景致,1,17,17,大观园试才题对额 荣国府归省庆元宵,,,上面苔藓斑驳，或藤萝掩映，其中微露羊肠小径。
橱,1,室内陈设,1,11,5,贾宝玉神游太虚境 警幻仙曲演红楼梦,,,进入门中，只见有十数个大橱，皆用封条封着，看那封条上皆有各省字样。
毯,1,床帐被褥,1,4,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,临窗大炕上铺着猩红洋毯，正面设着大红金线蟒引枕，秋香色金钱蟒大条褥，两边设一对梅花式洋漆小几，左边几上摆着文王鼎，鼎旁匙著香盒，右边几上摆着汝窑美人觚，里面插着时鲜花草。
圆桌,2,室内陈设,1,2,38,林潇湘魁夺菊花诗 薛蘅芜讽和螃蟹咏,,,把那大团圆桌子放在当中，酒菜都放着。
