词条,字数,所属子类,独立成词频次,字面频次,首现章回,首现回目,其他归属,备注,例句
茯苓,2,滋补药膳,2,13,28,蒋玉函情赠茜香罗 薛宝钗羞笼红麝串,,,龟大何首乌，千年松根茯苓胆，诸如此类的药不算为奇，只在群药里算，那为君的药，说起来，唬人一跳！
酪,1,主食饭粥,2,8,18,皇恩重元妃省父母 天伦乐宝玉呈才藻,食-酒茶饮品,,元妃又命以琼酪金脍等物，赐与宝玉并贾兰。
虾,1,菜肴珍馐,2,7,18,皇恩重元妃省父母 天伦乐宝玉呈才藻,,,于是进入行宫，只见庭燎绕空，香屑布地，火树琪花，金窗玉槛，说不尽帘卷虾须，毯铺鱼獭，鼎飘麝脑之香，屏列雉尾之扇。
羹,1,主食饭粥,2,4,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,贾珠之妻李氏捧杯，熙凤安箸，王夫人进羹。
汝窑,2,饮馔器具,2,3,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,临窗大炕上铺着猩红洋毯，正面设着大红金线蟒引枕，秋香色金钱蟒大条褥，两边设一对梅花式洋漆小几，左边几上摆着文王鼎，鼎旁匙著香盒，右边几上摆着汝窑美人觚，里面插着时鲜花草。
鹌鹑,2,菜肴珍馐,2,3,46,尴尬人难免尴尬事 鸳鸯女誓绝鸳鸯偶,,,”想毕，因笑道：“才我临来，舅母那边送了两笼子鹌鹑，我吩咐他们炸了，原要赶太太晚饭上送过来，我才进大门时，见小子们抬车，说太太的车拔了缝，拿去收拾去了。
官窑,2,饮馔器具,2,2,40,史太君两宴大观园 金鸳鸯三宣牙牌令,,,案上设着大鼎，左边紫檀架上放着一个大官窑的大盘，盘内盛着数十个娇黄玲珑大佛手。
惠泉酒,3,酒茶饮品,2,2,16,贾元春才选凤藻宫 秦鲸卿夭逝黄泉路,,,”又道：“妈妈，你尝一尝你儿子带来的惠泉酒。
橄榄,2,果品干果,2,2,48,滥情人情误思游艺 慕雅女雅集苦吟诗,,,’这‘白’‘青’两个字，也似无理，想来必得这两个字才形容的尽，念在嘴里，倒象有几千斤重的一个橄榄似的。
火腿,2,菜肴珍馐,2,2,16,贾元春才选凤藻宫 秦鲸卿夭逝黄泉路,,,”因问平儿道：“早起我说那一碗火腿炖的肘子很烂，正好给妈妈吃，你怎么不拿了去赶着叫他们热来？
猜枚,2,宴饮起居,2,2,23,西厢记妙词通戏语 牡丹亭艳曲警芳心,,,…或读书，或写字，或弹琴下棋，作画吟诗，以至描鸾刺凤，斗草簪花，低吟悄唱，拆字猜枚，无所不至，倒也十分快意。…
粳米饭,3,主食饭粥,2,2,62,憨湘云醉眠芍药裀 呆香菱情解石榴裙,,,才刚饿了，我已告诉了柳婶子，先给我做一碗汤，盛半碗粳米饭，送到我这里，吃了就完事。
肉脯,2,菜肴珍馐,2,2,37,秋爽斋偶结海棠社 蘅芜院夜拟菊花题,,,黛玉笑道：“你们快牵了他来，炖了肉脯子来吃酒。
茄鲞,2,菜肴珍馐,2,2,41,贾宝玉品茶栊翠庵 刘老老醉卧怡红院,,,”贾母笑道：“把茄鲞夹些喂他。
茶壶,2,饮馔器具,2,2,24,醉金刚轻财尚义侠 痴女儿遗帕惹相思,,,宝玉见没丫头们，只得自己下来，拿了碗，向茶壶去倒茶。
